Date_EP,Tag,Date_qPCR,Target,Gene,DPF,mean_cq,relative_expr,fc_Ct_method,log2fc_Ct_method
2024_10_30,EP103024,2024_12_15,Lamp1b,shScrambled,D2,28.68,0.021,1,0
2024_10_30,EP103024,2024_12_15,Lamp1b,Lamp1b,D2,31.56,0.00234,0.1084,-3.204
2025_04_23,EP042325,2025_05_08,Lamp1b,shScrambled,D2,26.956,0.02017,1,0
2025_04_23,EP042325,2025_05_08,Lamp1b,Lamp1b,D2,30.074,0.0023242,0.11517,-3.1181
2025_04_23,EP042325,2025_05_08,ATPV0D1,shScrambled,D2,27.483,0.01481,1,0
2025_04_23,EP042325,2025_05_08,ATPV0D1,ATPV0D1,D2,29.4533,0.005708,0.3853,-1.37
2025_02_12,EP021225,2025_05_26,ATPV0D1,shScrambled,D2,26.63,0.0157,1,0
2025_02_12,EP021225,2025_05_26,ATPV0D1,ATPV0D1,D2,30.68,0.00585,0.3711,-1.429
2025_05_07,EP050725,2025_05_29,ATPV0D1,shScrambled,D2,28.15,0.02156,1,0
2025_05_07,EP050725,2025_05_29,ATPV0D1,ATPV0D1,D2,30.433,0.004782,0.2218,-2.1725
2025_07_16,EP071625,2025_07_24,Lamp1b,shScrambled,D2,28.73,0.0233,1,0
2025_07_16,EP071625,2025_07_24,Lamp1b,Lamp1b,D2,31.73,0.003012,0.12896,-2.955
2025_07_23,EP072325,2025_09_11,CTSB,shScrambled,D2,30.0177,0.018312,1,0
2025_07_23,EP072325,2025_09_11,CTSB,CTSB,D2,34.07,0.000718,0.03922,-4.672
2025_07_30,EP073025,2025_09_11,CTSB,shScrambled,D2,29.37,0.0245,1,0
2025_07_30,EP073025,2025_09_11,CTSB,CTSB,D2,34.56,0.001187,0.04826,-4.372
2025_09_03,EP090325,2025_09_22,CTSB,shScrambled,D2,29.51,0.0267,1,0
2025_09_03,EP090325,2025_09_22,CTSB,CTSB,D2,33.312,0.001444,0.054,-4.209