Anemone,Phenotype,Alga,Area,Mean
10,Dark,1,56.193,16826.577
10,Dark,2,52.179,11076.126
10,Dark,3,69.818,15778.012
10,Dark,4,52.179,18674.695
10,Dark,5,56.193,13311.174
10,Dark,6,49.776,15688.036
10,Dark,7,69.818,19651.153
10,Dark,8,82.52,19552.07
10,Dark,9,62.768,16639.137
10,Dark,10,79.853,17697.44
11,Dark,1,54.212,15458.167
11,Dark,2,58.543,17672.385
11,Dark,3,49.776,23502.264
11,Dark,4,79.853,23239.616
11,Dark,5,65.276,25130.343
11,Dark,6,54.212,26230.067
11,Dark,7,65.276,22071.374
11,Dark,8,56.193,17779.014
11,Dark,9,43.94,11300.082
11,Dark,10,65.276,11944.178
12,Dark,1,49.776,14611.277
12,Dark,2,52.179,17666.833
12,Dark,3,72.168,19649.978
12,Dark,4,56.193,16930.164
12,Dark,5,79.853,16774.654
12,Dark,6,60.523,16820.54
12,Dark,7,42.171,12945.818
12,Dark,8,60.523,23090.695
12,Dark,9,65.276,22224.632
12,Dark,10,67.626,17036.438
13,Dark,1,58.543,16684.46
13,Dark,2,74.677,12257.235
13,Dark,3,67.626,12626.112
13,Dark,4,58.543,15861.456
13,Dark,5,72.168,18014.024
13,Dark,6,65.276,15456.517
13,Dark,7,62.768,13206.092
13,Dark,8,56.193,13882.261
13,Dark,9,58.543,14281.322
13,Dark,10,67.626,17618.266
14,Dark,1,82.52,27210.413
14,Dark,2,43.94,25358.959
14,Dark,3,38.474,22554.567
14,Dark,4,62.768,24689.783
14,Dark,5,62.768,26557.157
14,Dark,6,72.168,22632.743
14,Dark,7,69.818,23454.879
14,Dark,8,45.973,28631.793
14,Dark,9,54.212,23347.448
14,Dark,10,45.973,28423.896
15,Dark,1,52.179,21778.834
15,Dark,2,62.768,22355.44
15,Dark,3,52.179,19642.774
15,Dark,4,69.818,18879.776
15,Dark,5,67.626,21470.77
15,Dark,6,62.768,21088.827
15,Dark,7,52.179,15519.504
15,Dark,8,54.212,15897.951
15,Dark,9,60.55,22030.523
15,Dark,10,69.818,22532.686
16,Dark,1,60.523,13888.652
16,Dark,2,69.818,13099.813
16,Dark,3,58.543,14600.672
16,Dark,4,65.276,16999.406
16,Dark,5,62.768,10946.453
16,Dark,6,98.891,13263.791
16,Dark,7,56.193,13564.031
16,Dark,8,69.818,13868.834
16,Dark,9,74.677,16483.64
16,Dark,10,52.179,16207.829
17,Dark,1,58.543,16690.053
17,Dark,2,60.523,20380.738
17,Dark,3,62.768,13344.724
17,Dark,4,45.973,16345.924
17,Dark,5,60.523,14787.9
17,Dark,6,56.193,14893.006
17,Dark,7,62.768,16821.471
17,Dark,8,58.543,16145.283
17,Dark,9,60.523,12254.967
17,Dark,10,54.212,17934.065
10,Light,1,67.626,17149.626
10,Light,2,98.891,6125.285
10,Light,3,54.212,9248.701
10,Light,4,56.193,10294.379
10,Light,5,104.806,6628.979
10,Light,6,72.168,17019.236
10,Light,7,60.523,5526.003
10,Light,8,101.717,6930.356
10,Light,9,104.806,3992.688
10,Light,10,72.168,11979.63
11,Light,1,113.653,2760.069
11,Light,2,136.494,2660.807
11,Light,3,116.742,3019.159
11,Light,4,104.806,6542.269
11,Light,5,101.717,6666.782
11,Light,6,45.973,11990.289
11,Light,7,33.378,14957.514
11,Light,8,45.973,12867.091
11,Light,9,49.776,12816.506
11,Light,10,96.119,4049.607
12,Light,1,113.653,4782.928
12,Light,2,58.543,5716.391
12,Light,3,92.976,5643.398
12,Light,4,104.806,5727.386
12,Light,5,85.239,6496.331
12,Light,6,67.626,11677.413
12,Light,7,79.853,10395.562
12,Light,8,60.523,4652.594
12,Light,9,90.732,5261.451
12,Light,10,96.119,4746.82
13,Light,1,92.976,5680.341
13,Light,2,72.168,9398.041
13,Light,3,72.168,8861.805
13,Light,4,65.276,4404.508
13,Light,5,65.276,4106.851
13,Light,6,79.853,3164.991
13,Light,7,79.853,8118.705
13,Light,8,74.677,10037.976
13,Light,9,79.853,3926.291
13,Light,10,90.732,3952.733
15,Light,1,150.014,6277.102
15,Light,2,87.484,6442.157
15,Light,3,79.853,14739.28
15,Light,4,52.179,12293.555
15,Light,5,67.626,6407.255
15,Light,6,79.853,10898.739
15,Light,7,62.768,18391.747
15,Light,8,67.626,14317.217
15,Light,9,113.653,7115.445
15,Light,10,60.523,11886.499
14,Light,1,58.543,4637.173
14,Light,2,72.168,8936.055
14,Light,3,52.179,8703.551
14,Light,4,67.626,3954.728
14,Light,5,74.677,6437.126
14,Light,6,98.891,3020.646
14,Light,7,98.891,9993.923
14,Light,8,60.523,9598.452
14,Light,9,132.665,3765.974
14,Light,10,54.212,2897.829
16,Light,1,82.52,4314.614
16,Light,2,77.45,8472.563
16,Light,3,67.626,6170.556
16,Light,4,74.677,7870.629
16,Light,5,67.626,5357.66
16,Light,6,98.891,8102.419
16,Light,7,87.484,5836.26
16,Light,8,85.239,4051.951
16,Light,9,79.853,7610.313
16,Light,10,79.853,5220.224
17,Light,1,183.471,11123.244
17,Light,2,58.543,5628.659
17,Light,3,52.179,5606.554
17,Light,4,72.168,7306.909
17,Light,5,56.193,18672.104
17,Light,6,79.853,7425.68
17,Light,7,38.474,5949.126
17,Light,8,116.742,6161.596
17,Light,9,62.768,18477.151
17,Light,10,65.276,10243.822